# col1     a_lam/a_V               
  95.0     21.113150721385296  
  105.0    19.547195827049254  
  115.0    18.224804867313967  
  125.0    17.091473818977228  
  135.0    16.108059397093243  
  145.0    15.245682194012609  
  155.0    14.482542662491499  
  165.0    13.80185902303876   
  175.0    13.19048992735082   
  185.0    12.637989588145192  
  195.0    12.135944267585254  
  205.0    11.677496642456337  
  215.0    11.25699854533926   
  225.0    10.869753242688057  
  235.0    10.511821320381454  
  245.0    10.17987251224395   
  255.0    9.87107121557792    
  265.0    9.582987047982163   
  275.0    9.313524253447385   
  285.0    9.060865461108905   
  295.0    8.823426489304568   
  305.0    8.599819733514085   
  315.0    8.388824286251376   
  325.0    8.189361381388428   
  335.0    8.000474083031015   
  345.0    7.821310383126928   
  355.0    7.651109055548258   
  365.0    7.489187753698692   
  375.0    7.33493294532105    
  385.0    7.187791360440253   
  395.0    7.047262692317163   
  405.0    6.912893341341927   
  415.0    6.784271031240501   
  425.0    6.661020158250399   
  435.0    6.542797758879835   
  445.0    6.429290001890651   
  455.0    6.320209126301314   
  465.0    6.21529076030749    
  475.0    6.114291566693721   
  485.0    6.016987169050662   
  495.0    5.9231703203007715  
  505.0    5.832649280972561   
  515.0    5.745246379587225   
  525.0    5.66079673162093    
  535.0    5.579147096931903   
  545.0    5.5001548584149145  
  555.0    5.423687107064111   
  565.0    5.3496198206673995  
  575.0    5.2778371250856635  
  585.0    5.208230628540264   
  595.0    5.140698820585409   
  605.0    5.075146528512976   
  615.0    5.011484424855441   
  625.0    4.949628580441559   
  635.0    4.8895000581391965  
  645.0    4.831024543006971   
  655.0    4.774132005084773   
  665.0    4.718756391494493   
  675.0    4.664835344906144   
  685.0    4.612309945759157   
  695.0    4.561124475920948   
  705.0    4.511226201720742   
  715.0    4.462565174521076   
  725.0    4.415094047186705   
  735.0    4.36876790498425    
  745.0    4.323544109599179   
  755.0    4.279382155092088   
  765.0    4.236243534736053   
  775.0    4.1940916177831244  
  785.0    4.152891535302356   
  795.0    4.112610074315729   
  805.0    4.07321557953313    
  815.0    4.034677862054195   
  825.0    3.996968114464564   
  835.0    3.960058831807306   
  845.0    3.923923737958221   
  855.0    3.8885377169764994  
  865.0    3.8538767490408317  
  875.0    3.8199178506157074  
  885.0    3.7866390185238807  
  895.0    3.754019177629143   
  905.0    3.7220381318589757  
  915.0    3.6906765183196635  
  925.0    3.6599157642772298  
  935.0    3.6297380467964477  
  945.0    3.600126254847264   
  955.0    3.571063953703496   
  965.0    3.542535351472798   
  975.0    3.514525267609745   
  985.0    3.4870191032755455  
  995.0    3.460002813418619   
  1005.0   3.433462880459953   
  1015.0   3.4073862894761042  
  1025.0   3.3817605047807993  
  1035.0   3.3565734478135436  
  1045.0   3.331813476250492   
  1055.0   3.307469364259031   
  1065.0   3.2835302838233207  
  1075.0   3.259985787073246   
  1085.0   3.2368257895541355  
  1095.0   3.214040554378986   
  1105.0   3.1916206772090967  
  1115.0   3.1695570720127453  
  1125.0   3.147840957555038   
  1135.0   3.126463844575285   
  1145.0   3.105417523611199   
  1155.0   3.084694053431968   
  1165.0   3.0642857500447884  
  1175.0   3.044185176241781   
  1185.0   3.0243851316563837  
  1195.0   3.0048786433003416  
  1205.0   2.9811323923345387  
  1215.0   2.9591477951813054  
  1225.0   2.9379621144685966  
  1235.0   2.9175325155200738  
  1245.0   2.897818692030311   
  1255.0   2.878782703896986   
  1265.0   2.8603888263779607  
  1275.0   2.842603409713504   
  1285.0   2.825394748424538   
  1295.0   2.808732959562282   
  1305.0   2.792589869243351   
  1315.0   2.7769389068580494  
  1325.0   2.7617550063885177  
  1335.0   2.7470145143181885  
  1345.0   2.732695103654871   
  1355.0   2.718775693627281   
  1365.0   2.705236374649072   
  1375.0   2.6920583381758356  
  1385.0   2.679223811109358   
  1395.0   2.666715994429762   
  1405.0   2.654519005760482   
  1415.0   2.642617825593185   
  1425.0   2.6309982469202726  
  1435.0   2.6196468280413434  
  1445.0   2.6085508483273347  
  1455.0   2.5976982667419297  
  1465.0   2.587077682934492   
  1475.0   2.5766783007323215  
  1485.0   2.5664898938724074  
  1495.0   2.556502773824385   
  1505.0   2.5467077595669796  
  1515.0   2.537096149189996   
  1525.0   2.527659693202927   
  1535.0   2.518390569439667   
  1545.0   2.509281359456434   
  1555.0   2.5003250263272214  
  1565.0   2.4915148937477003  
  1575.0   2.482844626364534   
  1585.0   2.474308211252846   
  1595.0   2.465899940469736   
  1605.0   2.457614394616662   
  1615.0   2.449446427347981   
  1625.0   2.4413911507671795  
  1635.0   2.4334439216561576  
  1645.0   2.4256003284865804  
  1655.0   2.4178561791656508  
  1665.0   2.4102074894717664  
  1675.0   2.4026504721384696  
  1685.0   2.395181526547697   
  1695.0   2.387797228995972   
  1705.0   2.3804943234994185  
  1715.0   2.3732697131056857  
  1725.0   2.3661204516829244  
  1735.0   2.3590437361577936  
  1745.0   2.3520368991762783  
  1755.0   2.345097402162731   
  1765.0   2.3382228287540525  
  1775.0   2.331410878587424   
  1785.0   2.3246593614212476  
  1795.0   2.317966191570291   
  1805.0   2.3113293826371235  
  1815.0   2.3047470425230596  
  1825.0   2.2982173687028356  
  1835.0   2.2917386437481966  
  1845.0   2.2853092310864405  
  1855.0   2.2789275709808487  
  1865.0   2.272592176720652   
  1875.0   2.266301631008962   
  1885.0   2.2600545825377476  
  1895.0   2.2538497427396016  
  1905.0   2.247685882706619   
  1915.0   2.2415618302673     
  1925.0   2.2354764672128913  
  1935.0   2.2294287266651027  
  1945.0   2.2234175905775544  
  1955.0   2.2174420873638208  
  1965.0   2.2115012896452737  
  1975.0   2.205594312112348   
  1985.0   2.1997203094932134  
  1995.0   2.1938784746241677  
  2005.0   2.188068036616397   
  2015.0   2.1822882591140202  
  2025.0   2.176538438638668   
  2035.0   2.1708179030160544  
  2045.0   2.16512600988029    
  2055.0   2.159462145251911   
  2065.0   2.153825722185802   
  2075.0   2.1482161794854324  
  2085.0   2.14263298047997    
  2095.0   2.1370756118611047  
  2105.0   2.131543582576474   
  2115.0   2.126036422776877   
  2125.0   2.120553682814491   
  2135.0   2.115094932289549   
  2145.0   2.1096597591430357  
  2155.0   2.1042477687930536  
  2165.0   2.0988585833127256  
  2175.0   2.0934918406475083  
  2185.0   2.088147193869984   
  2195.0   2.0828243104702584  
  2205.0   2.0775228716802006  
  2215.0   2.072242571829847   
  2225.0   2.0669831177344014  
  2235.0   2.0617442281103093  
  2245.0   2.056525633018986   
  2255.0   2.0513270733368594  
  2265.0   2.046148300250421   
  2275.0   2.040989074775088   
  2285.0   2.0358491672967083  
  2295.0   2.0307283571346275  
  2305.0   2.0256264321252524  
  2315.0   2.020543188225149   
  2325.0   2.015478429132718   
  2335.0   2.0104319659275665  
  2345.0   2.005403616726721   
  2355.0   2.0003932063568897  
  2365.0   1.9954005660419896  
  2375.0   1.9904255331052378  
  2385.0   1.9854679506850945  
  2395.0   1.9805276674644094  
  2405.0   1.9756045374121562  
  2415.0   1.9706984195371406  
  2425.0   1.9658091776531432  
  2435.0   1.9609366801549375  
  2445.0   1.956080799804696   
  2455.0   1.9512414135282647  
  2465.0   1.9464184022208904  
  2475.0   1.9416116505619119  
  2485.0   1.936821046838035   
  2495.0   1.9320464827747705  
  2505.0   1.9272878533756683  
  2515.0   1.9225450567689752  
  2525.0   1.9178179940613826  
  2535.0   1.9131065691985327  
  2545.0   1.908410688831969   
  2555.0   1.90373026219224    
  2565.0   1.8990652009678637  
  2575.0   1.8944154191898943  
  2585.0   1.8897808331218253  
  2595.0   1.8851613611545912  
  2605.0   1.8805569237064261  
  2615.0   1.8759674431273639  
  2625.0   1.871392843608168   
  2635.0   1.8668330510934832  
  2645.0   1.8622879931990197  
